ObjName,RA,DE,Priority,Description,Status,CurrentPurpose,Comments,V
AG Dra,16 01 41.01,+66 48 10.13,,Yellow Symbiotic Star,,,,9.74
AG Peg,21 51 01.97,+12 37 32.12,,,,,,8.69
AR Pav,18 15 23.88,-66 04 42.93,,,,,,7.4
AS 210,16 51 20.41,-26 00 26.70,,,,,,11.9
AS 245,17 51 00.92,-22 19 35.07,,,,,,16.5
AS 270,18 05 33.73,-20 20 38.08,,,,,,13.71
AS 289,18 12 22.14,-11 40 07.12,,,,,,12.4
AS 323,18 48 35.68,-06 41 10.45,,,,,,14.2
AX Per,01 36 22.70,+54 15 02.41,,,,,,10.67
BD Cam,03 42 09.33,+63 13 00.46,,,,,,5.11
BF Cyg,19 23 53.50,+29 40 29.17,,,,,,9.3
BX Mon,07 25 22.76,-03 35 50.64,,,,,,11.24
CH Cyg,19 24 33.07,+50 14 29.06,,,,,,7.08
CI Cyg,19 50 11.83,+35 41 03.00,,,,,,9.9
CM Aql,19 03 35.14,-03 03 15.36,,,,,,14.63
CN Cha,10 59 57.62,-79 57 01.06,,,,,,--
CQ Dra,12 30 06.67,+69 12 03.99,,,,,,4.95
DD Mic,21 00 06.36,-42 38 44.94,,,,,,11.0
EF Aql,19 51 51.72,-05 48 16.71,,,,,,--
EG And,00 44 37.19,+40 40 45.70,,,,,,7.22
FG Ser,18 15 07.10,-00 18 52.28,,,,,,11.87
FN Sgr,18 53 54.77,-18 59 40.66,,,,,,--
GH Gem,07 04 12.77,+12 03 34.24,,,,,,12.4
Hen 2-468,20 41 18.99,+34 44 52.33,,,,,,14.763
Hen 3-1341,17 08 36.57,-17 26 30.41,,,,,,--
Hen 3-1342,17 08 54.97,-23 23 36.50,,,,,,13.5
Hen 3-1768,19 59 48.42,-82 52 37.49,,,,,,11.57
HM Sge,19 41 57.08,+16 44 39.86,,,,,,10.99
IV Vir,14 16 34.29,-21 45 50.04,,,,,,10.684
LT Del,20 35 57.24,+20 11 27.50,,,,,,--
MWC 960,18 47 55.81,-20 05 50.98,,,,,,12.0
NQ Gem,07 31 54.52,+24 30 12.54,,,,,,8.01
omi Cet,02 19 20.79,-02 58 39.50,,,,,,6.53
PU Vul,20 21 13.31,+21 34 18.69,,,,,,10.87
QW Sge,19 45 49.55,+18 36 47.66,,,,,,12.5
R Aqr,23 43 49.46,-15 17 04.18,,,,,,7.683
RR Tel,20 04 18.54,-55 43 33.15,,,,,,10.81
RS Oph,17 50 13.16,-06 42 28.48,,,,,,10.776
RT Cru,12 34 53.74,-64 33 56.10,,,,,,11.35
RT Ser,17 39 51.98,-11 56 38.82,,,,,,14.649
RW Hya,13 34 18.13,-25 22 48.89,,,,,,10.0
SS Lep,06 04 59.13,-16 29 03.97,,,,,,4.93
StHA 149,18 18 55.87,+27 26 27.73,,,,,,11.98
StHA 169,19 49 57.59,+46 15 20.54,,,,,,13.436
StHA 180,20 39 20.61,-05 17 16.33,,,,,,13.5
StHA 190,21 41 44.89,+02 43 54.41,,,,,,10.22
StHA 32,04 37 45.63,-01 19 11.90,,,,,,13.5
StHA 55,05 46 42.08,+06 43 47.08,,,,,,13.5
SU Lyn,06 42 55.14,+55 28 27.23,,,,,,8.46
SY Mus,11 32 10.00,-65 25 11.46,,,,,,10.2
TCP J18224935-2408280,18 22 49.35,-24 08 28.0,,,,,,15.142
T CrB,15 59 30.16,+25 55 12.61,,,,,,10.247
TX CVn,12 44 42.06,+36 45 50.62,,,,,,10.15
UV Aur,05 21 48.91,+32 30 40.18,,,,,,10.41
V1016 Cyg,19 57 05.02,+39 49 36.09,,,,,,11.5
V1261 Ori,05 22 18.65,-08 39 58.05,,,,,,6.77
V1329 Cyg,20 51 01.23,+35 34 54.11,,,,,,--
V1413 Aql,19 03 46.84,+16 26 16.97,,,,,,--
V335 Vul,19 23 14.15,+24 27 39.66,,,,,,13.6
V399 Pav,19 42 25.38,-68 07 35.34,,,,,,10.86
V407 Cyg,21 02 09.82,+45 46 32.74,,,,,,14.68
V417 CMa,06 59 11.30,-29 02 05.15,,,,,,10.59
V426 Sge,19 54 42.95,+17 22 12.58,,,,,,12.363
V443 Her,18 22 07.85,+23 27 19.93,,,,,,11.52
V471 Per,01 58 49.66,+52 53 48.46,,,,,,13.08
V503 Her,17 36 40.46,+23 18 11.67,,,,,,12.57
V627 Cas,22 57 40.97,+58 49 12.56,,,,,,10.9
V694 Mon,07 25 51.28,-07 44 08.08,,,,,,9.7
V919 Sgr,19 03 45.12,-16 59 55.38,,,,,,12.34
V934 Her,17 06 34.51,+23 58 18.65,,,,,,7.62
YY Her,18 14 34.19,+20 59 21.19,,,,,,11.1
Z And,23 33 39.96,+48 49 05.97,,,,,,8.0
ZZ CMi,07 24 14.00,+08 53 51.80,,,,,,10.2
ER Del,20 42 46.50,+08 41 13.54,,,,,,10.39
ALS 1,05 31 15.06,+19 03 49.88,,,,,,9.76
AS 316,18 42 32.80,-21 17 46.66,,,,,,--
AS 327,18 53 16.66,-24 22 58.80,,,,,,13.0
CL Sco,16 54 51.97,-30 37 18.26,,,,,,11.98
HK Sco,16 54 41.03,-30 23 06.88,,,,,,13.5
NSV 11776,19 09 56,-02 47.7,,,,,,13.49
StHA 164,19 28 41.64,-06 03 51.79,,,,,,13.5
V4018 Sgr,18 25 26.84,-28 35 57.49,,,,,,11.0
V455 Sco,17 07 21.73,-34 05 14.43,,,,,,14.0
V2506 Sgr,18 11 01.68,-28 32 40.36,,,,,,15.0
V3804 Sgr,18 21 28.78,-31 32 04.56,,,,,,12.45
WRAY 15-1470,16 23 21.64,-27 40 10.32,,,,,,13.43
Hen 2-247,17 34 17.21,-19 09 22.80,,,,,,--
SS73 141,18 12 11.34,-33 10 42.49,,,,,,12.5
Hen 4-204,22 45 01.41,-44 52 38.45,,,,,,9.74
Hen 3-1410,17 29 06.20,-29 43 17.59,,,,,,14.0
DQ Ser,18 44 39.62,+05 02 49.08,,,,,,--
SS73 122,18 04 41.22,-27 09 12.42,,,,,,15.418
SS73 117,18 02 23.0,-31 59 11,,,,,,12.5
UU Ser,17 42 38.29,-15 24 26.13,,,,,,--
V1044 Cen,13 16 01.37,-37 00 10.77,,,,,,11.1
V917 Sco,17 48 04.28,-36 08 17.32,,,,,,15.0
WY Vel,09 21 59.13,-52 33 51.65,,,,,,8.8
Hen 3-860,13 06 12.93,-53 22 52.50,,,,,,14.5
V2204 Oph,18 26 01.92,+11 55 09.58,,,,,,--
V648 Car,10 11 02.94,-57 48 13.94,,,,,,9.99
WRAY 15-1167,14 03 18.64,-58 09 34.92,,,,,,15.3
V343 Ser,18 12 22.14,-11 40 07.12,,,,,,12.4
StHA 154,18 43 27.92,+19 30 05.45,,,,,,13.5
