#,name,interest,type,state
0,CQ Dra,3,acc,q
1,BD Cam,3,acc,q
2,CH Cyg,0,acc,h
3,EG And,1,acc,q
4,V934 Her,3,acc,q
5,Z And,0,sb,q
6,SU Lyn,1,acc,q
7,AG Peg,0,sb,q
8,AG Dra,0,sb,q
9,RW Hya,0,sb,q
10,BF Cyg,1,sb,q
11,T CrB,00,acc,q
12,TX CVn,1,sb,q
13,ER Del,2,acc,q
14,StHA 190,1,sb,q
15,CI Cyg,0,sb,q
16,RS Oph,1,acc,q
17,AX Per,0,cb,q
18,V443 Her,0,sb,q
19,V1016 Cyg,0,sb,sn
20,StHA 149,1,sb,q
21,CL Sco,1,sb,q
22,V1413 Aql,00,sb,o
23,V2905 Sgr,1,sb,q
24,V919 Sgr,1,sb,q
25,V4074 Sgr,1,sb,q
26,H 2-5,1,sb,q
27,V2116 Oph,1,acc,q
